description,date
"New Year's Day",2015-01-01
"Martin Luther King, Jr. Day",2015-01-19
"Presidents' Day",2015-02-16
"Evacuation Day",2015-03-17
"Patriots' Day",2015-04-20
"Memorial Day", 2015-05-25
"Bunker Hill Day",2015-06-17
"Independence Day",2015-07-03
"Labor Day", 2015-09-07
"Columbus Day", 2015-10-12
"Veterans' Day", 2015-11-11 
"Thanksgiving Day", 2015-11-26
"Christmas Day", 2015-12-25 
"New Year's Day", 2016-01-01
"Martin Luther King, Jr. Day", 2016-01-18
"Presidents' Day", 2016-02-15
"Evacuation Day", 2016-03-17
"Patriots' Day", 2016-04-18
"Memorial Day", 2016-05-30
"Bunker Hill Day", 2016-06-17
"Independence Day", 2016-07-04
"Labor Day", 2016-09-05
"Columbus Day", 2016-10-10
"Veterans' Day", 2016-11-11 
"Thanksgiving Day", 2016-11-24
"Christmas Day" 2016-12-26 